# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
GAS2	YLR343W	YLR343W_mRNA	protein_coding	0	15	11	119	0	0	0	0	68	0	0	0	11	0	0	0	0	0	0	0	15	51
GAS3	YMR215W	YMR215W_mRNA	protein_coding	0	4	3	29	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	4	5
GAS4	YOL132W	YOL132W_mRNA	protein_coding	0	4	1	63	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	4	36
GAS5	YOL030W	YOL030W_mRNA	protein_coding	0	0	1	31	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	10
GAT1	YFL021W	YFL021W_mRNA	protein_coding	0	7	6	60	0	0	0	0	39	0	0	0	6	0	0	0	0	0	0	0	7	21
GAT2	YMR136W	YMR136W_mRNA	protein_coding	0	0	3	13	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	6
GAT3	YLR013W	YLR013W_mRNA	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
GAT4	YIR013C	YIR013C_mRNA	protein_coding	0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7
GBP2	YCL011C	YCL011C_mRNA	protein_coding	0	0	1	34	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	6
GCD1	YOR260W	YOR260W_mRNA	protein_coding	0	0	0	23	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	3
GCD10	YNL062C	YNL062C_mRNA	protein_coding	0	1	1	23	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	1	12
GCD11	YER025W	YER025W_mRNA	protein_coding	0	3	0	80	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	3	30
GCD14	YJL125C	YJL125C_mRNA	protein_coding	0	3	3	30	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	3	19
GCD2	YGR083C	YGR083C_mRNA	protein_coding	0	1	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	10
GCD6	YDR211W	YDR211W_mRNA	protein_coding	0	0	1	4	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0
GCD7	YLR291C	YLR291C_mRNA	protein_coding	0	9	1	90	0	0	0	0	55	0	0	0	1	0	0	0	0	0	0	0	9	35
GCG1	YER163C	YER163C_mRNA	protein_coding	0	6	0	60	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	6	37
GCN1	YGL195W	YGL195W_mRNA	protein_coding	0	62	19	110	0	0	0	0	61	0	0	0	19	0	0	0	0	0	0	0	62	49
GCN2	YDR283C	YDR283C_mRNA	protein_coding	0	1	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0
GCN20	YFR009W	YFR009W_mRNA	protein_coding	0	6	1	75	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	6	53
GCN3	YKR026C	YKR026C_mRNA	protein_coding	0	1	0	20	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	8
GCN4	YEL009C	YEL009C_mRNA	protein_coding	0	0	1	12	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	9
GCN5	YGR252W	YGR252W_mRNA	protein_coding	0	4	0	69	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	4	51
GCR1	YPL075W	YPL075W_mRNA	protein_coding	0	0	2	10	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	4
GCR2	YNL199C	YNL199C_mRNA	protein_coding	0	3	4	44	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	3	18
GCS1	YDL226C	YDL226C_mRNA	protein_coding	0	2	2	15	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	2	6
GCV1	YDR019C	YDR019C_mRNA	protein_coding	0	0	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8
GCV2	YMR189W	YMR189W_mRNA	protein_coding	0	6	2	24	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	6	11
GCV3	YAL044C	YAL044C_mRNA	protein_coding	0	1	0	72	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1	27
GCY1	YOR120W	YOR120W_mRNA	protein_coding	0	1	1	17	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	1	5
GDA1	YEL042W	YEL042W_mRNA	protein_coding	0	2	0	56	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	2	14
GDB1	YPR184W	YPR184W_mRNA	protein_coding	0	1	3	13	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	1	3
GDE1	YPL110C	YPL110C_mRNA	protein_coding	0	2	2	26	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	2	9
GDH1	YOR375C	YOR375C_mRNA	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4
GDH2	YDL215C	YDL215C_mRNA	protein_coding	0	11	2	66	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	11	34
GDH3	YAL062W	YAL062W_mRNA	protein_coding	0	12	0	118	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	12	56
GDI1	YER136W	YER136W_mRNA	protein_coding	0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12
GDS1	YOR355W	YOR355W_mRNA	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
GDT1	YBR187W	YBR187W_mRNA	protein_coding	0	2	4	71	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	0	2	33
GEA1	YJR031C	YJR031C_mRNA	protein_coding	0	13	4	40	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	13	23
GEA2	YEL022W	YEL022W_mRNA	protein_coding	0	1	5	14	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	1	5
GEF1	YJR040W	YJR040W_mRNA	protein_coding	0	6	5	67	0	0	0	0	31	0	0	0	5	0	0	0	0	0	0	0	6	36
GEM1	YAL048C	YAL048C_mRNA	protein_coding	0	22	1	74	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	22	39
GEP3	YOR205C	YOR205C_mRNA	protein_coding	0	1	2	13	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	1	4
GEP4	YHR100C	YHR100C_mRNA	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
GEP5	YLR091W	YLR091W_mRNA	protein_coding	0	1	1	54	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	1	28
GEP7	YGL057C	YGL057C_mRNA	protein_coding	0	2	2	24	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	2	16
GET1	YGL020C	YGL020C_mRNA	protein_coding	0	3	0	25	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	19
GET2	YER083C	YER083C_mRNA	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
GET3	YDL100C	YDL100C_mRNA	protein_coding	0	5	0	62	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	5	28
GET4	YOR164C	YOR164C_mRNA	protein_coding	0	0	0	25	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6
GEX1	YCL073C	YCL073C_mRNA	protein_coding	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1
GEX2	YKR106W	YKR106W_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GFA1	YKL104C	YKL104C_mRNA	protein_coding	0	8	0	82	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	8	42
GFD1	YMR255W	YMR255W_mRNA	protein_coding	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8
GFD2	YCL036W	YCL036W_mRNA	protein_coding	0	5	1	15	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	5	10
GGA1	YDR358W	YDR358W_mRNA	protein_coding	0	1	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	12
GGA2	YHR108W	YHR108W_mRNA	protein_coding	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3
GGC1	YDL198C	YDL198C_mRNA	protein_coding	0	3	0	76	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	3	35
GIC1	YHR061C	YHR061C_mRNA	protein_coding	0	3	3	43	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	3	25
GIC2	YDR309C	YDR309C_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
GID7	YCL039W	YCL039W_mRNA	protein_coding	0	6	2	19	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	6	16
GID8	YMR135C	YMR135C_mRNA	protein_coding	0	0	1	14	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	9
GIM3	YNL153C	YNL153C_mRNA	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
GIM4	YEL003W	YEL003W_mRNA	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
GIM5	YML094W	YML094W_mRNA	protein_coding	0	1	0	83	0	0	0	0	32	0	0	1	0	0	0	0	0	0	0	0	1	50
GIN4	YDR507C	YDR507C_mRNA	protein_coding	0	23	5	123	0	0	0	0	63	0	0	0	5	0	0	0	0	0	0	0	23	60
GIP1	YBR045C	YBR045C_mRNA	protein_coding	0	8	5	78	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	8	36
GIP2	YER054C	YER054C_mRNA	protein_coding	0	2	6	39	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	0	2	22
GIP3	YPL137C	YPL137C_mRNA	protein_coding	0	0	1	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	6
GIP4	YAL031C	YAL031C_mRNA	protein_coding	0	0	2	34	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	26
GIR2	YDR152W	YDR152W_mRNA	protein_coding	0	1	0	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	8
GIS1	YDR096W	YDR096W_mRNA	protein_coding	0	1	2	5	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	2
GIS2	YNL255C	YNL255C_mRNA	protein_coding	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10
GIS3	YLR094C	YLR094C_mRNA	protein_coding	0	5	2	45	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	5	19
GIS4	YML006C	YML006C_mRNA	protein_coding	0	4	3	64	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	4	32
GIT1	YCR098C	YCR098C_mRNA	protein_coding	0	7	1	30	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	7	20
GLC3	YEL011W	YEL011W_mRNA	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	4
GLC7	YER133W	YER133W_mRNA	protein_coding	0	0	0	46	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	36
GLC8	YMR311C	YMR311C_mRNA	protein_coding	0	0	0	22	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
GLE1	YDL207W	YDL207W_mRNA	protein_coding	0	9	3	49	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	9	27
GLE2	YER107C	YER107C_mRNA	protein_coding	0	1	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	3
GLG1	YKR058W	YKR058W_mRNA	protein_coding	0	7	7	59	0	0	0	0	25	0	0	0	7	0	0	0	0	0	0	0	7	34
GLG2	YJL137C	YJL137C_mRNA	protein_coding	0	0	0	39	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	19
GLK1	YCL040W	YCL040W_mRNA	protein_coding	0	4	1	23	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	4	12
GLN1	YPR035W	YPR035W_mRNA	protein_coding	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7
GLN3	YER040W	YER040W_mRNA	protein_coding	0	1	4	27	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	1	14
GLN4	YOR168W	YOR168W_mRNA	protein_coding	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6
GLO1	YML004C	YML004C_mRNA	protein_coding	0	3	3	43	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	3	21
GLO2	YDR272W	YDR272W_mRNA	protein_coding	0	0	0	15	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6
GLO3	YER122C	YER122C_mRNA	protein_coding	0	1	1	17	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	1	4
GLO4	YOR040W	YOR040W_mRNA	protein_coding	0	5	0	47	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	5	8
GLR1	YPL091W	YPL091W_mRNA	protein_coding	0	3	4	69	0	0	0	0	35	0	0	0	4	0	0	0	0	0	0	0	3	34
GLT1	YDL171C	YDL171C_mRNA	protein_coding	0	33	6	61	0	0	0	0	21	0	0	0	6	0	0	1	0	0	0	1	32	40
GLY1	YEL046C	YEL046C_mRNA	protein_coding	0	0	1	21	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	14
GMC1	YDR506C	YDR506C_mRNA	protein_coding	0	14	12	91	0	0	0	0	47	0	0	0	12	0	0	0	0	0	0	0	14	44
GMC2	YLR445W	YLR445W_mRNA	protein_coding	0	1	3	80	0	0	0	0	41	0	0	0	3	0	0	0	0	0	0	0	1	39
GMH1	YKR030W	YKR030W_mRNA	protein_coding	0	2	0	44	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	2	7
GNA1	YFL017C	YFL017C_mRNA	protein_coding	0	4	3	77	0	0	0	0	51	0	0	0	3	0	0	0	0	0	0	0	4	26
GND1	YHR183W	YHR183W_mRNA	protein_coding	0	0	0	26	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	19
GND2	YGR256W	YGR256W_mRNA	protein_coding	0	5	2	57	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	5	20
GNP1	YDR508C	YDR508C_mRNA	protein_coding	0	16	11	93	0	0	0	0	44	0	0	0	11	0	0	0	0	0	0	0	16	49
GNT1	YOR320C	YOR320C_mRNA	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2
GON7	YJL184W	YJL184W_mRNA	protein_coding	0	3	0	78	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	3	39
GOR1	YNL274C	YNL274C_mRNA	protein_coding	0	1	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4
GOS1	YHL031C	YHL031C_mRNA	protein_coding	0	0	1	32	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	23
GOT1	YMR292W	YMR292W_mRNA	protein_coding	0	0	0	30	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	14
GPA1	YHR005C	YHR005C_mRNA	protein_coding	0	3	2	27	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	3	16
GPA2	YER020W	YER020W_mRNA	protein_coding	0	13	4	64	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	13	28
GPB1	YOR371C	YOR371C_mRNA	protein_coding	0	10	7	13	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	10	5
GPB2	YAL056W	YAL056W_mRNA	protein_coding	0	14	6	95	0	0	0	0	37	0	0	0	6	0	0	0	0	0	0	0	14	58
GPC1	YGR149W	YGR149W_mRNA	protein_coding	0	10	1	65	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	10	24
GPD1	YDL022W	YDL022W_mRNA	protein_coding	0	0	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3
GPD2	YOL059W	YOL059W_mRNA	protein_coding	0	3	0	38	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	28
GPG1	YGL121C	YGL121C_mRNA	protein_coding	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6
GPH1	YPR160W	YPR160W_mRNA	protein_coding	0	1	3	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1
GPI1	YGR216C	YGR216C_mRNA	protein_coding	0	1	0	30	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	1	5
GPI10	YGL142C	YGL142C_mRNA	protein_coding	0	1	2	8	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	1	2
GPI11	YDR302W	YDR302W_mRNA	protein_coding	0	1	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	6
GPI12	YMR281W	YMR281W_mRNA	protein_coding	0	1	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	11
GPI13	YLL031C	YLL031C_mRNA	protein_coding	0	7	3	30	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	7	15
GPI14	YJR013W	YJR013W_mRNA	protein_coding	0	4	2	42	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	4	18
GPI15	YNL038W	YNL038W_mRNA	protein_coding	0	0	0	56	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	34
GPI16	YHR188C	YHR188C_mRNA	protein_coding	0	8	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	6
GPI17	YDR434W	YDR434W_mRNA	protein_coding	0	0	1	11	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1
GPI18	YBR004C	YBR004C_mRNA	protein_coding	0	2	2	62	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	2	36
GPI19	YDR437W	YDR437W_mRNA	protein_coding	0	1	2	21	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	1	7
GPI2	YPL076W	YPL076W_mRNA	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
GPI8	YDR331W	YDR331W_mRNA	protein_coding	0	0	2	7	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4
GPM1	YKL152C	YKL152C_mRNA	protein_coding	0	1	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3
GPM2	YDL021W	YDL021W_mRNA	protein_coding	0	2	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	2
GPM3	YOL056W	YOL056W_mRNA	protein_coding	0	1	1	15	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	9
GPN2	YOR262W	YOR262W_mRNA	protein_coding	0	1	0	32	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	3
GPN3	YLR243W	YLR243W_mRNA	protein_coding	0	1	0	39	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	21
GPR1	YDL035C	YDL035C_mRNA	protein_coding	0	1	2	21	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	1	5
GPT2	YKR067W	YKR067W_mRNA	protein_coding	0	10	2	67	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	10	29
GPX1	YKL026C	YKL026C_mRNA	protein_coding	0	1	1	92	0	0	0	0	47	0	0	0	1	0	0	0	0	0	0	0	1	45
GPX2	YBR244W	YBR244W_mRNA	protein_coding	0	1	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1
GRC3	YLL035W	YLL035W_mRNA	protein_coding	0	3	4	40	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	3	29
GRE1	YPL223C	YPL223C_mRNA	protein_coding	0	2	1	47	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	2	11
GRE2	YOL151W	YOL151W_mRNA	protein_coding	0	12	6	89	0	0	0	0	32	0	0	0	6	0	0	0	0	0	0	0	12	57
GRE3	YHR104W	YHR104W_mRNA	protein_coding	0	0	1	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
GRH1	YDR517W	YDR517W_mRNA	protein_coding	0	1	0	39	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	36
GRR1	YJR090C	YJR090C_mRNA	protein_coding	0	10	6	58	0	0	0	0	33	0	0	0	6	0	0	0	0	0	0	0	10	25
GRS1	YBR121C	YBR121C_mRNA	protein_coding	0	4	1	56	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	4	23
GRS2	YPR081C	YPR081C_mRNA	protein_coding	0	1	0	12	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	4
GRX1	YCL035C	YCL035C_mRNA	protein_coding	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5
GRX2	YDR513W	YDR513W_mRNA	protein_coding	0	3	0	99	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	3	58
GRX3	YDR098C	YDR098C_mRNA	protein_coding	0	0	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2
GRX4	YER174C	YER174C_mRNA	protein_coding	0	1	3	53	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	1	30
GRX5	YPL059W	YPL059W_mRNA	protein_coding	0	4	1	34	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	4	16
GRX6	YDL010W	YDL010W_mRNA	protein_coding	0	0	2	52	0	0	0	0	44	0	0	0	2	0	0	0	0	0	0	0	0	8
GRX7	YBR014C	YBR014C_mRNA	protein_coding	0	1	2	17	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	1	7
GRX8	YLR364W	YLR364W_mRNA	protein_coding	0	1	0	68	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	1	28
GSC2	YGR032W	YGR032W_mRNA	protein_coding	0	12	6	50	0	0	0	0	20	0	0	0	6	0	0	0	0	0	0	0	12	30
GSF2	YML048W	YML048W_mRNA	protein_coding	0	2	1	26	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	2	1
GSH1	YJL101C	YJL101C_mRNA	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
GSH2	YOL049W	YOL049W_mRNA	protein_coding	0	3	0	34	0	0	0	0	17	0	0	0	0	0	0	1	0	0	0	1	2	17
GSM1	YJL103C	YJL103C_mRNA	protein_coding	0	1	1	17	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	1	2
GSP1	YLR293C	YLR293C_mRNA	protein_coding	0	1	0	79	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	1	36
GSP2	YOR185C	YOR185C_mRNA	protein_coding	0	1	0	58	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	24
GSY1	YFR015C	YFR015C_mRNA	protein_coding	0	15	2	55	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	15	28
GSY2	YLR258W	YLR258W_mRNA	protein_coding	0	10	1	47	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	10	27
GTB1	YDR221W	YDR221W_mRNA	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
GTF1	YGR102C	YGR102C_mRNA	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
GTO1	YGR154C	YGR154C_mRNA	protein_coding	0	4	2	71	0	0	0	0	45	0	0	0	2	0	0	0	0	0	0	0	4	26
GTO3	YMR251W	YMR251W_mRNA	protein_coding	0	0	1	15	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	8
GTR1	YML121W	YML121W_mRNA	protein_coding	0	2	0	30	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	9
GTR2	YGR163W	YGR163W_mRNA	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
GTS1	YGL181W	YGL181W_mRNA	protein_coding	0	1	2	12	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	1	6
GTT1	YIR038C	YIR038C_mRNA	protein_coding	0	3	1	124	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	3	94
GTT2	YLL060C	YLL060C_mRNA	protein_coding	1	4	2	100	0	0	0	0	39	0	0	0	2	0	0	0	1	0	0	0	4	61
GTT3	YEL017W	YEL017W_mRNA	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	4
GUA1	YMR217W	YMR217W_mRNA	protein_coding	0	5	0	34	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	26
GUD1	YDL238C	YDL238C_mRNA	protein_coding	0	1	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	7
GUF1	YLR289W	YLR289W_mRNA	protein_coding	0	14	1	102	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	14	66
GUK1	YDR454C	YDR454C_mRNA	protein_coding	0	1	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	7
GUP1	YGL084C	YGL084C_mRNA	protein_coding	0	1	1	30	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	27
GUP2	YPL189W	YPL189W_mRNA	protein_coding	0	1	1	11	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	5
GUS1	YGL245W	YGL245W_mRNA	protein_coding	0	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5
GUT1	YHL032C	YHL032C_mRNA	protein_coding	0	4	1	32	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	4	22
GUT2	YIL155C	YIL155C_mRNA	protein_coding	0	8	0	46	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	8	22
GVP36	YIL041W	YIL041W_mRNA	protein_coding	0	4	0	65	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	4	33
GWT1	YJL091C	YJL091C_mRNA	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6
GYL1	YMR192W	YMR192W_mRNA	protein_coding	0	2	1	32	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	2	14
GYP1	YOR070C	YOR070C_mRNA	protein_coding	0	3	1	58	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	3	30
GYP5	YPL249C	YPL249C_mRNA	protein_coding	0	2	1	39	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	2	10
GYP6	YJL044C	YJL044C_mRNA	protein_coding	0	9	4	59	0	0	0	0	23	0	0	0	4	0	0	0	0	0	0	0	9	36
GYP7	YDL234C	YDL234C_mRNA	protein_coding	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3
GYP8	YFL027C	YFL027C_mRNA	protein_coding	0	8	5	76	0	0	0	0	38	0	0	0	5	0	0	0	0	0	0	0	8	38
